The given text as ID	The translation to your language	An brief explanation of what it means
nav_about	Rólunk	The link to our about page
nav_server	Szerver	 The link to the server page
nav_dynmap	Dynmap	The link to our dynmap site
nav_sysmap	Vasúti térkép	Same for system map
nav_joininstructions	Hogyan csatlakozzak?	Link to our join instructions
nav_discord	Discord	Link to our discord
nav_cities	Városok	Link to the cities page
nav_railways	Járatok	As well as the Railways page
		
hero_title1	MTR	"MTR" the title you find on the start of the page
hero_title2	A legjobb formában	"At its finest" The main title you find
hero_about	Rólunk	The button below the titles on the hero
hero_ann_title	Fontos Bejelentés	The announcement that pops up
hero_ann_sub	A szerver jelenleg zárva van. Várható nyitás: április	And the content of the announcement
cookies_text	Sütiket használunk, statisztikai készítés céljából. Ezek elfogadási kötelező a továbblépéshez.	the text of the cookies
ss_title1	Néhány	Screenshots title
ss_title2	Legjobban sikerült képünk	Screenshots title
ss_about	Látogasd meg a galériánk!	Screenshots title button
cookies_close	Elfogadás	Cookies banner
cookies_close_decl	Elutasítás	Cookies banner
about_title	Rólunk	About us title
about_text5	Geo-n találkozunk!	
stats_over	Több, mint	
stats_members	Tagok	
stats_at_its_finest_since	At it's finest since	
stats_builders	Építészeink	
imf_images	Képek	
ftr_arr	Minden jog fenttartva	
ftr_rul	Szabályzat	
ftr_cnt	Contact us	
