The given text as ID	The translation to your language	An brief explanation of what it means
nav_about	Over ons	The link to our about page
nav_server	Server	 The link to the server page
nav_dynmap	Landkaart	The link to our dynmap site
nav_sysmap	Systeemkaart	Same for system map
nav_joininstructions	Hoe join je?	Link to our join instructions
nav_discord	Discord	Link to our discord
nav_cities	Steden	Link to the cities page
nav_railways	Spoorlijnen	As well as the Railways page
		
hero_title1	MTR	"MTR" the title you find on the start of the page
hero_title2	Op z'n best	"At its finest" The main title you find
hero_about	Over ons	The button below the titles on the hero
hero_ann_title	Belangrijke mededeling	The announcement that pops up
hero_ann_sub	De server is op dit moment gesloten, en zal waarschijnlijk terug zijn rond Maart/April	And the content of the announcement
cookies_text	Wij gebruiken cookies voor statistieken, zoals hoeveel en wanneer onze website gebruikt wordt, maar ook voor probleemopsporing. Deze cookies zijn nodig voor de website om te functioneren.	the text of the cookies
